"address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"1/27 HARGRAVE ROAD Auburn 2144",3,4,NA,717000,2015-06-04,-33.8604194362929,151.032031984549,1273.73600200917
"5/38 ST JOHNS ROAD Auburn 2144",3,2,2,695000,2015-05-20,-33.8713482645673,151.019380675172,2784.051224968
"2/14 Kennington Oval Auburn 2144",3,2,2,625000,2015-05-15,-33.8727518561635,151.022900403954,2800.96373054896
"100/95 Station Rd Auburn 2144",5,2,1,615000,2015-04-14,-33.8446405454747,151.040025637969,818.241408903085
"2/33 Macquarie Road Auburn 2144",2,1,1,470000,2015-04-02,-33.8456274726641,151.034940672589,420.168582028118
"6 Castle St Auburn 2144",3,3,2,710000,2015-03-31,-33.8740583434114,151.020077127507,3030.87471328624
"2/124 Park Road Auburn 2144",3,1,1,610000,2015-03-18,-33.8594168349446,151.028672517756,1223.68318852279
"22/277 PARK ROAD Auburn 2144",3,1,1,538000,2015-03-16,-33.8706394489252,151.025656876632,2500.21326241141
"17/17-21 Kirkham Rd Auburn 2144",3,1,2,640000,2015-03-13,-33.8720158412457,151.020772993109,2796.62026797535
"5/128 Auburn Rd Auburn 2144",3,1,2,658000,2015-03-06,-33.858837310159,151.031968030628,1098.46839914172
"3 Prairie Way Auburn 2144",2,1,1,486000,2015-03-04,-33.8736607478343,151.018073517372,3068.32431913727
"1/40 ST JOHNS ROAD Auburn 2144",4,2,2,680000,2015-02-26,-33.8713198499155,151.019171714326,2789.958153938
"6/128 Auburn Road Auburn 2144",3,1,1,631000,2015-02-14,-33.8585286884841,151.031541391756,1068.1388128982
"12/17-21 Kirkham Road Auburn 2144",2,2,1,540000,2015-01-24,-33.8720158412457,151.020772993109,2796.62026797535
"17-21 Kirkham Road Auburn 2144",2,2,1,530000,2015-01-24,-33.8720158412457,151.020772993109,2796.62026797535
"4/27 Cockthorpe Road Auburn 2144",4,4,2,888000,2015-01-05,-33.8602434582358,151.036894075124,1304.9433823572
"4/5 New Street Auburn 2144",2,2,1,515000,2014-12-16,-33.864862096433,151.023547319241,1966.06938721746
"4/7 Queen Street Auburn 2144",2,1,1,430000,2014-12-01,-33.8534161885518,151.034665075613,517.982674703105
"5/21-23 HARGRAVE ROAD Auburn 2144",3,1,1,496000,2014-11-14,-33.8600562903378,151.032106751125,1232.96332852798
"4/17-21 Kirkham Rd Auburn 2144",3,3,2,543000,2014-11-07,-33.8720158412457,151.020772993109,2796.62026797535
"2/6 Kennington Oval Auburn 2144",4,3,2,745000,2014-10-24,-33.8720665517599,151.023033760033,2724.91658939584
"3/6 Kennington Oval Auburn 2144",4,3,2,750000,2014-10-23,-33.8720665517599,151.023033760033,2724.91658939584
"19/17-21 Kirkham Road Auburn 2144",2,1,1,520000,2014-10-20,-33.8720158412457,151.020772993109,2796.62026797535
"19/17-21 Kirkham Road Auburn 2144",2,1,1,517000,2014-10-20,-33.8720158412457,151.020772993109,2796.62026797535
"1/23 Elsham Road Auburn 2144",3,1,1,515000,2014-10-08,-33.8604346913567,151.034795749483,1284.91186134776
"4/128 Auburn Road Auburn 2144",3,1,1,578000,2014-09-29,-33.8588287606178,151.031904076707,1097.99955047668
"7/7-9 Helena Street Auburn 2144",3,2,2,645000,2014-09-26,-33.8573922281421,151.036245483456,984.082754260867
"2/39 Park Road Auburn 2144",3,2,1,721000,2014-09-20,-33.8530296989964,151.029482544879,548.677684012506
"5/24 Norval Street Auburn 2144",4,2,2,550500,2014-09-15,-33.8599075115565,151.034442368445,1222.5618752164
"2/14A Kennington Oval Auburn 2144",3,3,1,544000,2014-09-13,-33.8728715916504,151.022877186082,2814.25496530621
"3/7 Helena ST Auburn 2144",3,2,2,580000,2014-08-30,-33.8573922281421,151.036245483456,984.082754260867
"4/6 Kennington Oval Auburn 2144",4,3,2,755000,2014-08-29,-33.8720665517599,151.023033760033,2724.91658939584
"1/6 Kennington Oval Auburn 2144",4,3,2,748000,2014-08-22,-33.8720665517599,151.023033760033,2724.91658939584
"4/29 St Johns Rd Auburn 2144",3,2,1,517500,2014-08-21,-33.87105196429,151.022325824491,2642.265415854
"2/20 Albert Rd Auburn 2144",3,1,1,563000,2014-08-21,-33.868617063327,151.023897766612,2336.94942773444
"1/17 - 21 Kirkham Road Auburn 2144",2,2,1,538000,2014-08-18,-33.8720158412457,151.020772993109,2796.62026797535
"4/27-29 Louisa Street Auburn 2144",3,2,2,640000,2014-08-15,-33.8572866999811,151.035094145236,944.509581324489
"5/27-29 Louisa Street Auburn 2144",3,2,2,645000,2014-08-08,-33.8572866999811,151.035094145236,944.509581324489
"10/277 PARK ROAD Auburn 2144",3,1,1,455000,2014-08-02,-33.8706394489252,151.025656876632,2500.21326241141
"4/9A-11 Louisa St Auburn 2144",3,1,1,530000,2014-07-30,-33.8563190930785,151.035322635917,844.980192905433
"10/21-23 HARGRAVE ROAD Auburn 2144",3,1,1,515000,2014-07-25,-33.8600562903378,151.032106751125,1232.96332852798
"5/6 Kennington Oval Auburn 2144",4,3,2,750000,2014-07-16,-33.8720665517599,151.023033760033,2724.91658939584
"6/6 Kennington Oval Auburn 2144",4,3,2,745000,2014-07-11,-33.8720665517599,151.023033760033,2724.91658939584
"2/14 Kennington Oval Auburn 2144",3,2,2,486000,2014-06-24,-33.8727518561635,151.022900403954,2800.96373054896
"4/57 Harrow Road Auburn 2144",2,1,1,470000,2014-06-20,-33.8557431306018,151.030135746594,792.949578737567
"28 Elsham Road Auburn 2144",4,2,2,676000,2014-06-18,-33.8605761778823,151.03583569221,1316.9218263284
"5/58-60 Helena Street Auburn 2144",3,1,2,560000,2014-06-13,-33.8574468362413,151.030924232225,957.873668146217
"13/21 Hargrave Road Auburn 2144",3,1,1,465000,2014-05-22,-33.8600562903378,151.032106751125,1232.96332852798
"2/27-29 Louisa street Auburn 2144",4,2,2,710000,2014-05-15,-33.8572866999811,151.035094145236,944.509581324489
"2/167 Rawson St Auburn 2144",4,1,1,575000,2014-05-10,-33.846597300771,151.030862289961,327.155143369656
"12/1 Kennington Oval Auburn 2144",3,2,1,5e+05,2014-04-29,-33.8719987421632,151.021853839523,2756.32197280564
"Unit 3/72 Water Street Auburn 2144",3,2,1,585000,2014-04-21,-33.8612766954402,151.033900478405,1369.76159602614
"3/1a Raglan road Auburn 2144",2,1,1,480000,2014-04-10,-33.8737999712461,151.024983809807,2856.05460780517
"4/30-32 St Johns Road Auburn 2144",3,2,2,625000,2014-03-25,-33.8714475063008,151.020110990396,2764.38955490545
"1/55 Northumberland Road Auburn 2144",3,2,1,510000,2014-03-20,-33.8461776607885,151.036262247263,441.970797055811
"4/30-32 St Johns Road Auburn 2144",3,2,2,625000,2014-03-19,-33.8714475063008,151.020110990396,2764.38955490545
"11/1-3 KENNINGTON OVAL Auburn 2144",3,2,1,510000,2014-03-03,-33.8719987421632,151.021853839523,2756.32197280564
"6/6 Kennington Oval Auburn 2144",4,3,2,745000,2014-02-20,-33.8720665517599,151.023033760033,2724.91658939584
"8/27-29 Louisa atreet Auburn 2144",3,2,2,635000,2014-02-20,-33.8572866999811,151.035094145236,944.509581324489
"6/27-29 Louisa Street Auburn 2144",3,2,2,630000,2014-02-20,-33.8572866999811,151.035094145236,944.509581324489
"2/273 - 275 Park road Auburn 2144",3,2,2,515000,2014-02-12,-33.8703318330787,151.025674562448,2466.79457924359
"1/27-29 Louisa street Auburn 2144",4,2,2,718000,2014-02-12,-33.8572866999811,151.035094145236,944.509581324489
"4/24 Cornwall Rd Auburn 2144",3,1,1,540888,2014-01-23,-33.8701159152529,151.025091349625,2458.94814351965
"18 Tarakan Street Auburn 2144",3,3,1,593000,2014-01-03,-33.8738606562251,151.019198117321,3043.541272489
"6/27-29 Hargrave Road Auburn 2144",2,2,NA,552000,2013-12-10,-33.8604194362929,151.032031984549,1273.73600200917
"6/27-29 Hargrave Rd Auburn 2144",4,2,2,552000,2013-12-10,-33.8604194362929,151.032031984549,1273.73600200917
"11/273-275 Park road Auburn 2144",3,2,2,498000,2013-12-09,-33.8703318330787,151.025674562448,2466.79457924359
"12/17-21 Kirkham Road Auburn 2144",2,1,1,350000,2013-12-08,-33.8720158412457,151.020772993109,2796.62026797535
"1/17-21 Kirkham Rd Auburn 2144",3,2,1,535000,2013-12-08,-33.8720158412457,151.020772993109,2796.62026797535
"4/17 St Johns Road Auburn 2144",3,1,1,480500,2013-12-07,-33.87121298065,151.02350582882,2620.7902088594
"4/17-21 Kirkham Rd Auburn 2144",3,2,2,543000,2013-12-07,-33.8720158412457,151.020772993109,2796.62026797535
"3/4 Cockthorpe Rd Auburn 2144",3,2,1,550000,2013-12-07,-33.8585399202344,151.036536335496,1113.91548610351
"2/14 Kennington Oval Auburn 2144",3,2,1,880000,2013-12-07,-33.8727518561635,151.022900403954,2800.96373054896
"4/9a-11 Louisa St Auburn 2144",3,1,1,530000,2013-12-06,-33.8563190930785,151.035322635917,844.980192905433
"320-322 Chisholm Street Auburn 2144",4,2,2,550000,2013-11-26,-33.871464982569,151.017474378933,2878.75897641245
"9/45-47 Marion Street Auburn 2144",3,2,2,603000,2013-11-11,-33.856482749738,151.033953284395,838.648007577693
"4/5 New Street Auburn 2144",2,1,1,4e+05,2013-11-07,-33.864862096433,151.023547319241,1966.06938721746
"4/5 New Street Auburn 2144",2,1,1,4e+05,2013-11-07,-33.864862096433,151.023547319241,1966.06938721746
"3/57 Harrow Road Auburn 2144",2,1,1,450000,2013-11-04,-33.8557431306018,151.030135746594,792.949578737567
"3/57 Harrow Rd Auburn 2144",2,1,1,450000,2013-11-04,-33.8557431306018,151.030135746594,792.949578737567
"24/277 Park rd Auburn 2144",3,1,2,425000,2013-10-30,-33.8706394489252,151.025656876632,2500.21326241141
"11/277 Park road Auburn 2144",3,1,2,399000,2013-10-30,-33.8706394489252,151.025656876632,2500.21326241141
"1/45 Edgar Street Auburn 2144",3,3,2,525000,2013-10-21,-33.8541757566175,151.023590569861,1035.70122668688
"1/42 Helena Street Auburn 2144",4,3,2,699000,2013-10-21,-33.8576023624547,151.032826840427,957.634491947842
"4/14 Kennington Oval Auburn 2144",3,2,1,468000,2013-10-18,-33.8727518561635,151.022900403954,2800.96373054896
"7/78 Helena Street Auburn 2144",2,1,1,390000,2013-10-14,-33.8570823491817,151.029387075002,956.541182770238
"7/78-80 Helena Street Auburn 2144",2,1,1,390000,2013-10-14,-33.8570823491817,151.029387075002,956.541182770238
"6/273-275 Park Road Auburn 2144",3,2,1,465000,2013-10-14,-33.8703318330787,151.025674562448,2466.79457924359
"5 PALACE STREET Auburn 2144",3,2,2,406000,2013-10-04,-33.8741180225621,151.020569564319,3019.51463288005
"10/39 Wellington Road Auburn 2144",2,2,NA,370000,2013-10-01,-33.8647576160099,151.0245913691,1914.91861588952
"2/42 Helena Street Auburn 2144",3,3,2,548000,2013-09-30,-33.8576023624547,151.032826840427,957.634491947842
"3/187 Wellington Road Auburn 2144",4,2,2,630000,2013-09-06,-33.8654241030409,151.029974478777,1848.21642865896
"7/45-47 Marion Street Auburn 2144",3,3,2,579000,2013-08-12,-33.856482749738,151.033953284395,838.648007577693
"7/45 Marion Street Auburn 2144",3,3,2,579000,2013-08-12,-33.856482749738,151.033953284395,838.648007577693
"1/7 Kennington Oval Auburn 2144",3,2,2,460000,2013-08-06,-33.8724478026258,151.021767170644,2805.74323397359
"1/1 Elsham Road Auburn 2144",2,NA,NA,249950,2013-08-01,-33.8583001139845,151.035225657297,1057.37298138636
"2/200 Cumberland Road Auburn 2144",3,1,1,480000,2013-07-19,-33.862023271556,151.023600879602,1685.45650705753
"6/305 PARK ROAD Auburn 2144",3,2,2,483000,2013-07-16,-33.8735612127341,151.025262843364,2823.81310025901
"2/27 Hargrave Road Auburn 2144",4,2,2,513000,2013-07-15,-33.8604194362929,151.032031984549,1273.73600200917
"9/21 Hargrave Road Auburn 2144",3,1,1,410000,2013-07-03,-33.8600562903378,151.032106751125,1232.96332852798
"9/21-23 Hargrave Road Auburn 2144",3,1,1,410000,2013-07-03,-33.8600562903378,151.032106751125,1232.96332852798
"4/8 Elsham Road Auburn 2144",3,2,1,515000,2013-07-03,-33.8587034511653,151.035949686093,1116.37000298432
"1/17 St Johns Road Auburn 2144",3,1,2,481000,2013-07-02,-33.87121298065,151.02350582882,2620.7902088594
"2/27 Hargrave Road Auburn 2144",4,2,2,513000,2013-07-01,-33.8604194362929,151.032031984549,1273.73600200917
"6/45 Edgar Street Auburn 2144",3,2,2,452000,2013-06-12,-33.8541757566175,151.023590569861,1035.70122668688
"4/45 Edgar Street Auburn 2144",3,2,2,454000,2013-06-07,-33.8541757566175,151.023590569861,1035.70122668688
"6/45 Edgar Street Auburn 2144",3,2,2,452000,2013-06-01,-33.8541757566175,151.023590569861,1035.70122668688
"30/18 COCKTHORPE STREET Auburn 2144",4,2,3,568000,2013-05-20,-33.860634809295,151.036097291408,1328.47980800329
"30/18 COCKTHORPE STREET Auburn 2144",4,2,NA,568000,2013-05-20,-33.860634809295,151.036097291408,1328.47980800329
"2602/57 Queen Street Auburn 2144",3,2,3,1150000,2013-05-02,-33.8498305361019,151.031656140011,147.553706120765
"30/18 Cockthorpe Road Auburn 2144",4,2,3,568000,2013-05-01,-33.860634809295,151.036097291408,1328.47980800329
"30/28 elsham road Auburn 2144",4,3,3,3e+06,2013-05-01,-33.8605761778823,151.03583569221,1316.9218263284
"6/38 St Johns Road Auburn 2144",3,2,2,465000,2013-04-18,-33.8713482645673,151.019380675172,2784.051224968
"1/39 Karrabah Road Auburn 2144",2,2,2,395000,2013-03-18,-33.8438658061642,151.032136003967,575.884112437092
"5/7-9 Helena Street Auburn 2144",3,2,2,480000,2013-03-18,-33.8573922281421,151.036245483456,984.082754260867
"5/7-9 Helena St Auburn 2144",3,2,2,480000,2013-03-18,-33.8573922281421,151.036245483456,984.082754260867
"1/39 Karrabah Rd Auburn 2144",2,2,2,395000,2013-03-18,-33.8438658061642,151.032136003967,575.884112437092
"5 Kirkham Road Auburn 2144",3,2,2,465000,2013-03-15,-33.8728033629585,151.021678071014,2845.59388157527
"1/39-41 Karrabah Road Auburn 2144",2,2,1,395000,2013-03-01,-33.8438658061642,151.032136003967,575.884112437092
"5 Kirkham Raod Auburn 2144",3,2,2,959000,2013-03-01,-33.8728033629585,151.021678071014,2845.59388157527
"320-322 Chisholm Street Auburn 2144",4,2,2,550000,2013-02-27,-33.871464982569,151.017474378933,2878.75897641245
"6/54 St Johns Road Auburn 2144",3,2,2,449000,2013-02-22,-33.8711478113528,151.017906466042,2828.35646122294
"6/54 St Johns Road Auburn 2144",3,2,2,449000,2013-02-22,-33.8711478113528,151.017906466042,2828.35646122294
"5a Kirkham Road Auburn 2144",3,2,2,470000,2013-02-13,-33.8728033629585,151.021678071014,2845.59388157527
"5/40 St John road Auburn 2144",3,2,1,464000,2013-02-12,-33.8713198499155,151.019171714326,2789.958153938
"6/23 Elsham Road Auburn 2144",3,2,1,415000,2013-02-07,-33.8604346913567,151.034795749483,1284.91186134776
"3/23 Union Road Auburn 2144",3,2,1,455000,2013-01-10,-33.8567773736346,151.026702267596,1038.19678311671
"3/23 Union Road Auburn 2144",3,2,1,455000,2013-01-10,-33.8567773736346,151.026702267596,1038.19678311671
"5/40 St Johns Road Auburn 2144",3,2,2,469000,2013-01-01,-33.8713198499155,151.019171714326,2789.958153938
"1/17 Macquarie Road Auburn 2144",2,1,1,646000,2013-01-01,-33.8472476526384,151.033707275537,208.86077581674
"11/114-120 Auburn Road Auburn 2144",3,1,1,385000,2012-12-14,-33.8580309710736,151.032131980654,1007.8272072202
"6/11 Kennington Oval Auburn 2144",3,2,3,490000,2012-11-19,-33.8728033629585,151.021678071014,2845.59388157527
"1/4 Cockthorpe Road Auburn 2144",3,2,1,465000,2012-11-01,-33.8585399202344,151.036536335496,1113.91548610351
"5/38 ST JOHNS ROAD Auburn 2144",3,2,2,468000,2012-10-06,-33.8713482645673,151.019380675172,2784.051224968
"5/38 Street JOHNS ROAD Auburn 2144",3,2,2,468000,2012-10-01,-33.8713482645673,151.019380675172,2784.051224968
"4/1-3 KENNINGTON OVAL Auburn 2144",3,1,1,437500,2012-09-27,-33.8719987421632,151.021853839523,2756.32197280564
"4/1 Kennington Oval Auburn 2144",3,1,1,437500,2012-09-27,-33.8719987421632,151.021853839523,2756.32197280564
"4 / 1-3 KENNINGTON OVAL Auburn 2144",3,1,1,437500,2012-09-27,-33.8719987421632,151.021853839523,2756.32197280564
"4/275 PARK Road Auburn 2144",3,2,1,405000,2012-08-11,-33.8703318330787,151.025674562448,2466.79457924359
"4/275 PARK RD Auburn 2144",3,2,1,405000,2012-08-11,-33.8703318330787,151.025674562448,2466.79457924359
"21/17-21 Kirkham Rd Auburn 2144",2,1,1,375000,2012-08-08,-33.8720158412457,151.020772993109,2796.62026797535
"7/29 St Johns Road Auburn 2144",3,2,2,806000,2012-08-01,-33.87105196429,151.022325824491,2642.265415854
"21/17-21 Kirkham Street Auburn 2144",2,1,1,492500,2012-08-01,-33.8720158412457,151.020772993109,2796.62026797535
"4/273 Park Road Auburn 2144",3,2,NA,405000,2012-08-01,-33.8703318330787,151.025674562448,2466.79457924359
"22/17-21 Kirkham Road Auburn 2144",2,1,1,380000,2012-08-01,-33.8720158412457,151.020772993109,2796.62026797535
"22/17 Kirkham Road Auburn 2144",2,1,1,380000,2012-08-01,-33.8720158412457,151.020772993109,2796.62026797535
"22/17-21 Kirkham Rd Auburn 2144",2,1,1,380000,2012-08-01,-33.8720158412457,151.020772993109,2796.62026797535
"6/17 St Johns Road Auburn 2144",3,1,2,420000,2012-07-27,-33.87121298065,151.02350582882,2620.7902088594
"12/277 Park Road Auburn 2144",3,1,2,388000,2012-07-05,-33.8706394489252,151.025656876632,2500.21326241141
"12/277 Park Rd Auburn 2144",3,1,2,388000,2012-07-05,-33.8706394489252,151.025656876632,2500.21326241141
"3/28 Elsham Road Auburn 2144",4,2,3,875000,2012-07-01,-33.8605201029501,151.035390110237,1302.90919549108
"6/17 Kirkham Road Auburn 2144",3,2,2,425000,2012-07-01,-33.8720158412457,151.020772993109,2796.62026797535
"12A/114 AUBURN ROAD Auburn 2144",2,1,1,388000,2012-06-29,-33.8578299311259,151.031899131384,987.288762362853
"18/17 Kirkham Road Auburn 2144",2,1,1,375000,2012-06-27,-33.8720158412457,151.020772993109,2796.62026797535
"18/17-21 Kirkham Road Auburn 2144",2,1,1,375000,2012-06-27,-33.8720158412457,151.020772993109,2796.62026797535
"18/17-21 Kirkham Rd Auburn 2144",2,1,1,375000,2012-06-27,-33.8720158412457,151.020772993109,2796.62026797535
"5/17 Kirkham Road Auburn 2144",3,2,2,403000,2012-06-26,-33.8720158412457,151.020772993109,2796.62026797535
"5/17-21 KIRKHAM RD Auburn 2144",3,2,2,405000,2012-06-26,-33.8720158412457,151.020772993109,2796.62026797535
"4/305-307 Park Road Auburn 2144",3,2,2,411000,2012-06-23,-33.8735612127341,151.025262843364,2823.81310025901
"4/305 Park Road Auburn 2144",3,2,2,411000,2012-06-23,-33.8735612127341,151.025262843364,2823.81310025901
"4/305-307 Park Rd Auburn 2144",3,2,2,411000,2012-06-23,-33.8735612127341,151.025262843364,2823.81310025901
"3/35-37 Elsham Road Auburn 2144",4,2,1,560000,2012-06-20,-33.8610523118922,151.034672451687,1351.62586528711
"18/17-21 Kirkham Street Auburn 2144",2,1,1,375000,2012-06-01,-33.8720158412457,151.020772993109,2796.62026797535
"15/48 St Hilliers Road Auburn 2144",2,2,1,409000,2012-06-01,-33.8492982433407,151.038142643421,485.826582319433
"4/35-37 Elsham Road Auburn 2144",4,2,1,460000,2012-06-01,-33.8610523118922,151.034672451687,1351.62586528711
"1/27 Hargrave Road Auburn 2144",4,2,2,460000,2012-05-23,-33.8604194362929,151.032031984549,1273.73600200917
"1/27-29 Hargrave Rd Auburn 2144",4,2,2,460000,2012-05-23,-33.8604194362929,151.032031984549,1273.73600200917
"8/35 Elsham Road Auburn 2144",2,1,NA,458000,2012-05-09,-33.8610523118922,151.034672451687,1351.62586528711
"8/35-37 Elsham Road Auburn 2144",2,2,1,458000,2012-05-09,-33.8610523118922,151.034672451687,1351.62586528711
"8/35-39 Elsham Road Auburn 2144",2,2,1,458000,2012-05-09,-33.8610523118922,151.034672451687,1351.62586528711
"8/35-37 Elsham Road Auburn 2144",2,2,1,458000,2012-05-09,-33.8610523118922,151.034672451687,1351.62586528711
"4/38 Macquarie Road Auburn 2144",2,1,1,290000,2012-05-01,-33.8457549614114,151.033783383218,370.35358464682
"6/21 Hargrave Road Auburn 2144",3,2,1,375000,2012-05-01,-33.8600562903378,151.032106751125,1232.96332852798
"35-37 Elsham Road Auburn 2144",2,2,1,485500,2012-05-01,-33.8610523118922,151.034672451687,1351.62586528711
"7/57 Harrow Road Auburn 2144",3,2,1,375000,2012-04-23,-33.8557431306018,151.030135746594,792.949578737567
"7/57 Harrow Rd Auburn 2144",3,2,1,375000,2012-04-23,-33.8557431306018,151.030135746594,792.949578737567
"12/28 Elsham Road Auburn 2144",3,2,1,650000,2012-04-01,-33.8609636313566,151.03557861924,1354.61091686964
"29/137 Auburn Road Auburn 2144",2,2,1,310000,2012-04-01,-33.8558033545761,151.031177533339,773.905611528079
"4 Olive Way Auburn 2144",2,1,1,528000,2012-04-01,-33.8748227310715,151.020257422244,3103.04996502393
"11/181 Auburn Road Auburn 2144",2,1,2,365000,2012-03-23,-33.858219647714,151.030773944701,1044.97692582532
"3/35 Wellington Road Auburn 2144",3,2,2,438000,2012-03-23,-33.8647576160099,151.0245913691,1914.91861588952
"11/181 Auburn Rd Auburn 2144",2,1,2,365000,2012-03-23,-33.858219647714,151.030773944701,1044.97692582532
"3/35-37 Elsham Rd Auburn 2144",4,2,2,560000,2012-03-17,-33.8610523118922,151.034672451687,1351.62586528711
"2/35-37 Elsham Road Auburn 2144",3,2,2,525000,2012-03-15,-33.8610523118922,151.034672451687,1351.62586528711
"2/35-39 Elsham Road Auburn 2144",3,2,2,525000,2012-03-15,-33.8610523118922,151.034672451687,1351.62586528711
"2/35-37 Elsham Rd Auburn 2144",3,2,2,525000,2012-03-15,-33.8610523118922,151.034672451687,1351.62586528711
"19/17 Kirkham Road Auburn 2144",2,1,1,380000,2012-03-09,-33.8720158412457,151.020772993109,2796.62026797535
"19/17-21 Kirkham Rd Auburn 2144",2,1,1,380000,2012-03-09,-33.8720158412457,151.020772993109,2796.62026797535
"3/69 Macquarie Road Auburn 2144",3,1,1,6e+05,2012-03-01,-33.8436909177544,151.036498868389,678.230620062844
"3/35-37 Elsham Road Auburn 2144",4,2,2,848000,2012-03-01,-33.8610523118922,151.034672451687,1351.62586528711
"5 45 Edgar Street Auburn 2144",3,2,1,415000,2012-03-01,-33.8541757566175,151.023590569861,1035.70122668688
"19/17-21 Kirkham Street Auburn 2144",2,1,1,380000,2012-03-01,-33.8720158412457,151.020772993109,2796.62026797535
"20/17 Kirkham Road Auburn 2144",2,1,1,390000,2012-02-17,-33.8720158412457,151.020772993109,2796.62026797535
"20/17-21 Kirkham Rd Auburn 2144",2,1,1,390000,2012-02-17,-33.8720158412457,151.020772993109,2796.62026797535
"5/71 Station Road Auburn 2144",3,2,2,401000,2012-02-10,-33.8454977208029,151.038620998635,657.087688213328
"20/17-21 Kirkham Street Auburn 2144",2,1,1,390000,2012-02-01,-33.8720158412457,151.020772993109,2796.62026797535
"18 COCKTHORPE RD Auburn 2144",3,2,2,435000,2012-01-30,-33.8606152794606,151.036294349952,1330.53850761484
"6/35 Elsham Road Auburn 2144",2,1,NA,458000,2012-01-23,-33.8610523118922,151.034672451687,1351.62586528711
"6/35-37 Elsham Road Auburn 2144",2,2,1,458000,2012-01-23,-33.8610523118922,151.034672451687,1351.62586528711
"6/35-37 Elsham Rd Auburn 2144",2,2,1,458000,2012-01-23,-33.8610523118922,151.034672451687,1351.62586528711
"8/30 St Johns Road Auburn 2144",3,2,2,510000,2012-01-18,-33.8714475063008,151.020110990396,2764.38955490545
"8/30-32 St Johns Road Auburn 2144",3,2,2,510000,2012-01-18,-33.8714475063008,151.020110990396,2764.38955490545
"5/45 Edgar Street Auburn 2144",3,2,2,705000,2012-01-01,-33.8541757566175,151.023590569861,1035.70122668688
"21-23 HARGRAVE Road Auburn 2144",3,1,2,367000,2011-12-25,-33.8600562903378,151.032106751125,1232.96332852798
"21-23 HARGRAVE RD Auburn 2144",3,1,2,367000,2011-12-25,-33.8600562903378,151.032106751125,1232.96332852798
"4/165 Rawson Street Auburn 2144",3,2,2,395000,2011-12-21,-33.8467175810815,151.031100587468,303.696394673208
"4/165 Rawson St Auburn 2144",3,2,2,395000,2011-12-21,-33.8467175810815,151.031100587468,303.696394673208
"6/29 St Johns Road Auburn 2144",3,2,2,370000,2011-12-13,-33.87105196429,151.022325824491,2642.265415854
"9/30 St Johns Road Auburn 2144",2,2,NA,510000,2011-12-09,-33.8714475063008,151.020110990396,2764.38955490545
"9/30-32 St Johns Road Auburn 2144",3,2,2,510000,2011-12-09,-33.8714475063008,151.020110990396,2764.38955490545
"9/30-32 St Johns Road Auburn 2144",3,2,2,510000,2011-12-09,-33.8714475063008,151.020110990396,2764.38955490545
"4/18 Provincial Street Auburn 2144",3,2,1,469000,2011-12-07,-33.8564130123036,151.026897817397,994.423035014337
"4/18 Provincial Street Auburn 2144",3,2,1,469000,2011-12-07,-33.8564130123036,151.026897817397,994.423035014337
"4 Embers Way Auburn 2144",2,1,1,432500,2011-12-01,-33.8735656551428,151.017444036443,3085.36748252625
"12/35 Harrow Road Auburn 2144",3,2,2,750000,2011-12-01,-33.8537400652905,151.030618376579,568.260584736602
"6/29 St Johns Road Auburn 2144",3,2,2,1150000,2011-12-01,-33.87105196429,151.022325824491,2642.265415854
"1/23 Union Road Auburn 2144",3,2,4,438000,2011-11-25,-33.8567773736346,151.026702267596,1038.19678311671
"57 HARROW Road Auburn 2144",3,1,1,370000,2011-11-21,-33.8557431306018,151.030135746594,792.949578737567
"57 HARROW RD Auburn 2144",3,1,1,370000,2011-11-21,-33.8557431306018,151.030135746594,792.949578737567
"9/35-39 Deakin Street Auburn 2144",3,2,2,510000,2011-11-21,-33.8406055391955,151.041450645328,1224.01622473663
"3/109 Park Road Auburn 2144",3,2,2,401000,2011-11-15,-33.8592720794767,151.028015041271,1229.42729902121
"3/109 PARK RD Auburn 2144",3,2,NA,401000,2011-11-15,-33.8592720794767,151.028015041271,1229.42729902121
"10/21 Hargrave Road Auburn 2144",3,1,NA,816000,2011-11-01,-33.8600562903378,151.032106751125,1232.96332852798
"6/57 Harrow Road Auburn 2144",2,2,1,372000,2011-11-01,-33.8557431306018,151.030135746594,792.949578737567
"1/1-3 Kennington Oval Auburn 2144",3,1,2,382000,2011-10-26,-33.8719987421632,151.021853839523,2756.32197280564
"13/28 Elsham Road Auburn 2144",3,2,1,417000,2011-10-07,-33.8609769585826,151.035631928144,1356.97808076052
"1 Embers Way Auburn 2144",2,1,1,1430000,2011-10-01,-33.8732082507914,151.01733783773,3054.77180396668
"1/29 St Johns Road Auburn 2144",3,2,2,370000,2011-10-01,-33.87105196429,151.022325824491,2642.265415854
"1/1 Kennington Oval OVAL Auburn 2144",3,1,2,1315000,2011-10-01,-33.8719987421632,151.021853839523,2756.32197280564
"1/38 Macquarie Road Auburn 2144",2,NA,NA,307000,2011-10-01,-33.8457549614114,151.033783383218,370.35358464682
"3/5 Northcote Street Auburn 2144",2,1,1,368800,2011-10-01,-33.8497454178751,151.02827747866,435.339906428343
"2/38 Macquarie Road Auburn 2144",2,1,1,3e+05,2011-10-01,-33.8457549614114,151.033783383218,370.35358464682
"3/17 - 21 Kirkham Rd Auburn 2144",3,2,2,440000,2011-09-27,-33.8720158412457,151.020772993109,2796.62026797535
